Name,Meta1,Meta2,Meta3,brightness
220302b.30m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.318529
220302b.31m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.195294
220302b.25m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.229707
220302b.32m.asd                 No-OAR  ,Pervious,Bare Soil,Bare Soil,0.153554
220302b.27m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.214523
220302b.28m.asd                 No-OAR,Pervious,Mixed,Bare Soil/Pickleweed,0.233161
220302b.29m.asd                 No-OAR,Pervious,Mixed,Bare Soil/Pickleweed,0.241221
220302a.7m.asd                 No-OAR   ,Pervious,Plants,Pickleweed,0.147413
220302a.8m.asd                 No-OAR   ,Pervious,Plants,Pickleweed,0.155410
220302a.9m.asd                 No-OAR   ,Pervious,Plants,Pickleweed,0.141637
220302a.10m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.135038
220302a.11m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.143170
220302a.12m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.154428
220302a.13m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.148781
220302a.14m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.155141
220302a.15m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.153869
220302a.16m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.156967
220302a.17m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.124701
220302a.18m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.163900
220302a.19m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.161681
220302a.20m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.117881
220302a.6M.asd                 No-OAR   ,Pervious,Plants,Pickleweed,0.159772
220302a.22m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.130471
220302a.23m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.138433
220302a.24m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.154453
220302a.25m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.196527
220302a.26m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.167567
220302a.27m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.139331
220302a.28m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.177086
220302a.4m.asd                 No-OAR   ,Pervious,Plants,Pickleweed,0.145725
220302a.30m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.211942
220302a.31m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.208094
220302a.32m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.213872
220302a.0m.asd                 No-OAR   ,Pervious,Plants,Pickleweed,0.160165
220302a.3m.asd                 No-OAR   ,Pervious,Plants,Pickleweed,0.133148
220302a.2m.asd                 No-OAR   ,Pervious,Plants,Pickleweed,0.132530
220302a.21m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.152604
220302a.5m.asd                 No-OAR   ,Pervious,Plants,Pickleweed,0.174095
220302a.1m.asd                 No-OAR   ,Pervious,Plants,Pickleweed,0.119273
220302b.26m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.138027
220302b.00050.asd                 No-OAR,Pervious,Plants,Pickleweed,0.108207
220302b.8m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.154008
220302b.9m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.141080
220302b.10m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.139009
220302b.11m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.156891
220302b.12m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.136968
220302b.13m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.160445
220302b.14m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.132099
220302b.15m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.127524
220302b.16m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.163506
220302b.17m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.132293
220302b.18m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.154545
220302b.19m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.141598
220302b.20m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.159586
220302b.21m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.123690
220302b.22m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.136101
220302b.23m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.167190
220302b.24m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.145891
220302a.29m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.172564
220302b.3m.asd                 No-OAR,Pervious,Plants,Uplands,0.159374
220302b.2m.asd                 No-OAR,Pervious,Plants,Uplands,0.140879
220302b.1m.asd                 No-OAR,Pervious,Plants,Uplands,0.121398
220302b.0m.asd                 No-OAR,Pervious,Plants,Uplands,0.231159
220302b.6m.asd                 No-OAR,Pervious,Plants,Uplands,0.193880
220302b.5m.asd                 No-OAR,Pervious,Plants,Uplands,0.152918
220302b.4m.asd                 No-OAR,Pervious,Plants,Uplands,0.171663
