Name,Meta1,Meta2,Meta3
Marsh Sand [Red] 9 points,Pervious,Bare Soil,Marsh Sand
Bare Soil [Green] 17 points,Pervious,Bare Soil,Bare Soil
Shallow Water [Blue] 18 points,Pervious,Water,Shallow Water
Algae/Water [Yellow] 19 points,Pervious,Water,Algae/Water
Beach Sand [Cyan] 12 points,Pervious,Bare Soil,Beach Sand
Wet Sand [Magenta] 9 points,Pervious,Bare Soil,Wet Sand
Grasslands [Maroon] 17 points,Pervious,Plants,Grassland
Trees [Sea Green] 6 points,Pervious,Plants,Trees
Uplands [Purple] 8 points,Pervious,Plants,Uplands
Mud [Coral] 8 points,Pervious,Bare Soil,Mud
Water [Aquamarine] 24 points,Pervious,Water,Water
High Marsh [Orchid] 8 points,Pervious,Plants,High Marsh
Flooded Pickleweed [Sienna] 3 points,Pervious,Plants,Flooded
