Name,Meta1,Meta2,Meta3
Algae/Water_X164_Y189,Pervious,Water,Algae/Water
Algae/Water_X177_Y211,Pervious,Water,Algae/Water
Algae/Water_X181_Y208,Pervious,Water,Algae/Water
Algae/Water_X185_Y202,Pervious,Water,Algae/Water
ShallowWater_X205_Y206,Pervious,Water,Shallow Water
ShallowWater_X196_Y192,Pervious,Water,Shallow Water
ShallowWater_X185_Y187,Pervious,Water,Shallow Water
ShallowWater_X178_Y167,Pervious,Water,Shallow Water
ShallowWater_X199_Y54,Pervious,Water,Shallow Water
Water_X71_Y30,Pervious,Water,Water
Water_X55_Y38,Pervious,Water,Water
Water_X128_Y280,Pervious,Water,Water
Water_X197_Y61,Pervious,Water,Water
Water_X175_Y192,Pervious,Water,Water
Water_X187_Y90,Pervious,Water,Water
